Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5735;PRIRODA 5 : udžbenik prirode s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Damir Bendelja, Marijana Gudić, Lydia Lugar, Edina Operta;udžbenik s višemedijskim nastavnim materijalima;63,00;ŠK;Novo;5. razred osnovne škole
5736;PRIRODA 5 : radna bilježnica za prirodu u petom razredu osnovne škole;Damir Bendelja, Marijana Gudić, Edina Operta;radna bilježnica;49,00;ŠK;Novo;5. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5154;GEOGRAFIJA 5 : udžbenik geografije za peti razred osnovne škole;Vesna Janko, Renata Kanceljak, Ivan Paradi, Tatjana Somer;udžbenik;60,00;PROFIL;Novo;5. razred osnovne škole
5155;GEOGRAFIJA 5 : radna bilježnica iz geografije za peti razred osnovne škole;Vesna Janko, Renata Kanceljak, Ivan Paradi, Tatjana Somer;radna bilježnica;41,00;PROFIL;Novo;5. razred osnovne škole
POVIJEST ;;;;;;;
4618;POVIJEST 5 : udžbenik za 5. razred osnovne škole;Stjepan Bekavac;udžbenik;58,00;ALFA;Novo;5. razred osnovne škole
4619;POVIJEST 5 : radna bilježnica za 5. razred osnovne škole;Stjepan Bekavac, Marija Bradvica, Abelina Finek;radna bilježnica;37,00;ALFA;Novo;5. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
5302;TEHNIČKA KULTURA 5 : radni materijal za izvođenje vježbi i praktičnog rada iz tehničke kulture za peti razred osnovne škole;Ružica Gulam, Tamara Valčić, Ivo Tkalec, Mato Šimunović, Dragutin Labaš, Stjepan Androlić, Željko Medved;radni materijal;98,00;PROFIL;Novo;5. razred osnovne škole
5301;TEHNIČKA KULTURA 5 : udžbenik tehničke kulture za peti razred osnovne škole;Marijan Vinković, Dragutin Labaš, Stjepan Androlić, Željko Medved;udžbenik;35,00;PROFIL;Novo;5. razred osnovne škole
INFORMATIKA - IZBORNI PREDMET ;;;;;;;
5217;NIMBUS, OBLAK 5 : udžbenik informatike s e-podrškom za peti razred osnovne škole;Silvana Svetličić, Lidija Kralj, Nenad Hajdinjak, Darko Rakić, Bojan Floriani;udžbenik;61,00;PROFIL;Novo;5. razred osnovne škole
