Tip ustanove:;Osnovna škola;;;;;;
Županija:;Sisačko-Moslavačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Dvor;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5155;GEOGRAFIJA 5 : radna bilježnica iz geografije za peti razred osnovne škole;Vesna Janko, Renata Kanceljak, Ivan Paradi, Tatjana Somer;radna bilježnica;41,00;PROFIL;Novo;5. razred osnovne škole
GEOGRAFIJA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
2851;GEOGRAFIJA 5 : udžbenik s radnom bilježnicom za 5. razred osnovne škole;Silvija Krpes;udžbenik s radnom bilježnicom;125,00;ALKA;;5. razred osnovne škole
POVIJEST ;;;;;;;
5273;VREMEPLOV 5 : udžbenik povijesti za peti razred osnovne škole;Duša Šarunić, Darko Benčić;udžbenik;57,00;PROFIL;Novo;5. razred osnovne škole
5274;VREMEPLOV 5 : radna bilježnica iz povijesti za peti razred osnovne škole;Duša Šarunić, Darko Benčić;radna bilježnica;36,00;PROFIL;Novo;5. razred osnovne škole
POVIJEST - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
4729;PUT U PROŠLOST 5 : udžbenik s radnom bilježnicom za učenike sa smetnjama u razvoju;Nera Kovačić-Malbaša, Danijela Jugo-Superina;udžbenik;125,00;ALKA;Novo;5. razred osnovne škole
LIKOVNA KULTURA ;;;;;;;
5678;MOJE BOJE 5 : udžbenik likovne kulture s višemedijskim nastavnim materijalima u petom razredu osnovne škole;Miroslav Huzjak, Ivana Rupić;udžbenik s višemedijskim nastavnim materijalima;35,00;ŠK;Novo;5. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
5301;TEHNIČKA KULTURA 5 : udžbenik tehničke kulture za peti razred osnovne škole;Marijan Vinković, Dragutin Labaš, Stjepan Androlić, Željko Medved;udžbenik;35,00;PROFIL;Novo;5. razred osnovne škole
5302;TEHNIČKA KULTURA 5 : radni materijal za izvođenje vježbi i praktičnog rada iz tehničke kulture za peti razred osnovne škole;Ružica Gulam, Tamara Valčić, Ivo Tkalec, Mato Šimunović, Dragutin Labaš, Stjepan Androlić, Željko Medved;radni materijal;98,00;PROFIL;Novo;5. razred osnovne škole
INFORMATIKA - IZBORNI PREDMET ;;;;;;;
4575;LIKE IT 5 : udžbenik informatike za 5. razred osnovne škole s CD-om;Dragica Rade, Blaženka Šantalab, Luka Novaković;udžbenik;56,00;ALFA;Novo;5. razred osnovne škole
4576;LIKE IT 5 : radna bilježnica informatike za 5. razred osnovne škole;Dragica Rade, Blaženka Šantalab, Luka Novaković;radna bilježnica;38,00;ALFA;Novo;5. razred osnovne škole
Osnovna škola - redovni program - 6. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
4601;MATEMATIČKI IZAZOVI 6 : udžbenik i zbirka zadataka iz matematike za šesti razred - prvi dio;Gordana Paić, Željko Bošnjak, Boris Čulina;udžbenik sa zbirkom zadataka;59,00;ALFA;Novo;6. razred osnovne škole
4602;MATEMATIČKI IZAZOVI 6 : udžbenik i zbirka zadataka iz matematike za šesti razred - drugi dio;Gordana Paić, Željko Bošnjak, Boris Čulina;udžbenik sa zbirkom zadataka;59,00;ALFA;Novo;6. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5171;GLAZBENA ŠESTICA : udžbenik glazbene kulture s tri cd-a za šesti razred osnovne škole;Jelena Sikirica, Saša Marić;udžbenik;72,00;PROFIL;Novo;6. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4865;POZVANI NA SLOBODU : udžbenik za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;6. razred osnovne škole
4866;POZVANI NA SLOBODU : radna bilježnica za katolički vjeronauk šestoga razreda osnovne škole;Ružica Razum i autorski tim;radna bilježnica;32,00;KS;Novo;6. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
5657;KOCKA VEDRINE 6 - 1. DIO : integrirani udžbenik hrvatskog jezika i književnosti s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić , Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;6. razred osnovne škole
5658;KOCKA VEDRINE 6 - 2. DIO : integrirani udžbenik hrvatskog jezika i književnosti s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić, Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;udžbenik s višemedijskim nastavnim materijalima;62,00;ŠK;Novo;6. razred osnovne škole
5659;KOCKA VEDRINE 6 : radna bilježnica uz integrirani udžbenik hrvatskog jezika i književnosti u šestom razredu osnovne škole;Lada Franić-Glamuzina, Dijana Grbaš Jakšić, Igor Matijašić, Irena Peić, Ina Randić Đorđević, Milena Žic, Zrinka Katalinić, Marica Motik, Maša Rimac, Senka Sušac, Emilia Haukka;radna bilježnica;54,00;ŠK;Novo;6. razred osnovne škole
ENGLESKI JEZIK - V. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
5029;"PROJECT FOURTH EDITION, STUDENT'S BOOK 2 : udžbenik engleskog jezika za 5. razred, peta godina učenja; 6. razred, treća godina učenja";Tom Hutchinson;udžbenik;72,00;OXFORD;Novo;6. razred osnovne škole
5030;"PROJECT FOURTH EDITION, WORKBOOK WITH AUDIO CD 2 : radna bilježnica za engleski jezik u 5. razredu, peta godina učenja; 6. razred, treća godina učenja";Tom Hutchinson, Rod Fricker;radna bilježnica;59,99;OXFORD;Novo;6. razred osnovne škole
PRIRODA ;;;;;;;
5737;PRIRODA 6 : udžbenik prirode s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Damir Bendelja, Ines Budić, Edina Operta, Nataša Pongrac, Renata Roščak, Helena Valečić;udžbenik s višemedijskim nastavnim materijalima;63,00;ŠK;Novo;6. razred osnovne škole
5738;PRIRODA 6 : radna bilježnica za prirodu u šestom razredu osnovne škole;Damir Bendelja, Edina Operta, Renata Roščak, Helena Valečić;radna bilježnica;49,00;ŠK;Novo;6. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5157;GEOGRAFIJA 6 : udžbenik geografije za šesti razred osnovne škole;Slaven Imre, Vesna Janko, Renata Kanceljak, Ivana Paradi, Zoran Stiperski;udžbenik;64,00;PROFIL;Novo;6. razred osnovne škole
