161;OSNOVNA ŠKOLA KNEGINEC GORNJI;VARAŽDINSKA
162;OSNOVNA ŠKOLA PETAR ZRINSKI;VARAŽDINSKA
163;OSNOVNA ŠKOLA VIDOVEC;VARAŽDINSKA
164;OSNOVNA ŠKOLA PETRIJANEC;VARAŽDINSKA
165;OSNOVNA ŠKOLA VLADIMIR NAZOR;VARAŽDINSKA
166;OSNOVNA ŠKOLA BELETINEC;VARAŽDINSKA
167;OSNOVNA ŠKOLA TRNOVEC;VARAŽDINSKA
168;OSNOVNA ŠKOLA ŠEMOVEC;VARAŽDINSKA
169;OSNOVNA ŠKOLA VINICA;VARAŽDINSKA
170;OSNOVNA ŠKOLA SRAČINEC;VARAŽDINSKA
171;OSNOVNA ŠKOLA FRANJE SERTA BEDNJA;VARAŽDINSKA
172;OSNOVNA ŠKOLA GUSTAV KRKLEC MARUŠEVEC;VARAŽDINSKA
173;OSNOVNA ŠKOLA GROFA JANKA DRAŠKOVIĆA;VARAŽDINSKA
174;OSNOVNA ŠKOLA ANDRIJE KAČIĆA MIOŠIĆA;VARAŽDINSKA
175;OSNOVNA ŠKOLA ANTE STARČEVIĆA;VARAŽDINSKA
176;OSNOVNA ŠKOLA IVANA RANGERA, KAMENICA;VARAŽDINSKA
177;OSNOVNA ŠKOLA IZIDORA POLJAKA, VIŠNJICA;VARAŽDINSKA
178;OSNOVNA ŠKOLA MARTIJANEC;VARAŽDINSKA
179;OSNOVNA ŠKOLA SVETI ĐURĐ;VARAŽDINSKA
180;OSNOVNA ŠKOLA VELIKI BUKOVEC;VARAŽDINSKA
181;OSNOVNA ŠKOLA ANTUNA I IVANA KUKULJEVIĆA;VARAŽDINSKA
182;OSNOVNA ŠKOLA SVIBOVEC;VARAŽDINSKA
183;OSNOVNA ŠKOLA BREZNIČKI HUM;VARAŽDINSKA
184;OSNOVNA ŠKOLA LJUBEŠĆICA;VARAŽDINSKA
185;OSNOVNA ŠKOLA BISAG;VARAŽDINSKA
186;OSNOVNA ŠKOLA VISOKO;VARAŽDINSKA
187;OSNOVNA ŠKOLA TUŽNO;VARAŽDINSKA
188;OSNOVNA ŠKOLA GRGURA KARLOVČANA;KOPRIVNIČKO-KRIŽEVAČKA
189;OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI;KOPRIVNIČKO-KRIŽEVAČKA
190;OSNOVNA ŠKOLA BRAĆA RADIĆ;KOPRIVNIČKO-KRIŽEVAČKA
191;OSNOVNA ŠKOLA ĐURO ESTER;KOPRIVNIČKO-KRIŽEVAČKA
192;CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU PODRAVSKO SUNCE;KOPRIVNIČKO-KRIŽEVAČKA
193;OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI;KOPRIVNIČKO-KRIŽEVAČKA
194;OSNOVNA ŠKOLA VLADIMIR NAZOR KRIŽEVCI;KOPRIVNIČKO-KRIŽEVAČKA
195;CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU KRIŽEVCI;KOPRIVNIČKO-KRIŽEVAČKA
196;OSNOVNA ŠKOLA KOPRIVNIČKI BREGI;KOPRIVNIČKO-KRIŽEVAČKA
197;OSNOVNA ŠKOLA FRAN KONCELAK DRNJE;KOPRIVNIČKO-KRIŽEVAČKA
198;OSNOVNA ŠKOLA GOLA;KOPRIVNIČKO-KRIŽEVAČKA
199;OSNOVNA ŠKOLA LEGRAD;KOPRIVNIČKO-KRIŽEVAČKA
200;OSNOVNA ŠKOLA MIHOVIL PAVLEK MIŠKINA ĐELEKOVEC;KOPRIVNIČKO-KRIŽEVAČKA
201;OSNOVNA ŠKOLA PROF.BLAŽ MAĐER, NOVIGRAD PODRAVSKI;KOPRIVNIČKO-KRIŽEVAČKA
202;OSNOVNA ŠKOLA ANDRIJE PALMOVIĆA;KOPRIVNIČKO-KRIŽEVAČKA
203;OSNOVNA ŠKOLA SOKOLOVAC;KOPRIVNIČKO-KRIŽEVAČKA
204;OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;KOPRIVNIČKO-KRIŽEVAČKA
205;OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY;KOPRIVNIČKO-KRIŽEVAČKA
206;OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI;KOPRIVNIČKO-KRIŽEVAČKA
207;OSNOVNA ŠKOLA GRIGOR VITEZ;KOPRIVNIČKO-KRIŽEVAČKA
208;OSNOVNA ŠKOLA MOLVE;KOPRIVNIČKO-KRIŽEVAČKA
209;OSNOVNA ŠKOLA FERDINANDOVAC;KOPRIVNIČKO-KRIŽEVAČKA
210;OSNOVNA ŠKOLA PROF. FRANJE VIKTORA ŠIGNJARA;KOPRIVNIČKO-KRIŽEVAČKA
211;OSNOVNA ŠKOLA IVAN LACKOVIĆ CROATA KALINOVAC;KOPRIVNIČKO-KRIŽEVAČKA
212;OSNOVNA ŠKOLA KALNIK;KOPRIVNIČKO-KRIŽEVAČKA
213;I. OSNOVNA ŠKOLA BJELOVAR;BJELOVARSKO-BILOGORSKA
214;II. OSNOVNA ŠKOLA BJELOVAR;BJELOVARSKO-BILOGORSKA
215;III. OSNOVNA ŠKOLA BJELOVAR;BJELOVARSKO-BILOGORSKA
216;IV. OSNOVNA ŠKOLA BJELOVAR;BJELOVARSKO-BILOGORSKA
217;V OSNOVNA ŠKOLA;BJELOVARSKO-BILOGORSKA
218;OSNOVNA ŠKOLA ČAZMA;BJELOVARSKO-BILOGORSKA
219;OSNOVNA ŠKOLA VLADIMIRA NAZORA;BJELOVARSKO-BILOGORSKA
220;ČEŠKA OSNOVNA ŠKOLA JANA AMOSA KOMENSKOG - ČESKÁ ZÁKLADNÍ ŠKOLA JANA AMOSE KOMENSKÉHO;BJELOVARSKO-BILOGORSKA
221;CENTAR ZA ODGOJ I OBRAZOVANJE RUDOLF STEINER DARUVAR;BJELOVARSKO-BILOGORSKA
222;GLAZBENA ŠKOLA BRUNE BJELINSKOG DARUVAR;BJELOVARSKO-BILOGORSKA
223;OSNOVNA ŠKOLA GAREŠNICA;BJELOVARSKO-BILOGORSKA
224;OSNOVNA ŠKOLA TRNOVITIČKI POPOVAC;BJELOVARSKO-BILOGORSKA
225;OSNOVNA ŠKOLA IVANA NEPOMUKA JEMERŠIĆA;BJELOVARSKO-BILOGORSKA
226;OSNOVNA ŠKOLA MIRKA PEREŠA;BJELOVARSKO-BILOGORSKA
227;OSNOVNA ŠKOLA VELIKO TROJSTVO;BJELOVARSKO-BILOGORSKA
228;OSNOVNA ŠKOLA NOVA RAČA;BJELOVARSKO-BILOGORSKA
229;OSNOVNA ŠKOLA VELIKA PISANICA;BJELOVARSKO-BILOGORSKA
230;ČEŠKA OSNOVNA ŠKOLA JOSIPA RUŽIČKE KONČANICA-ČESKÁ ZÁKLADNÍ ŠKOLA JOSEFA RŮŽIČKY KONČENICE;BJELOVARSKO-BILOGORSKA
231;OSNOVNA ŠKOLA DEŽANOVAC;BJELOVARSKO-BILOGORSKA
232;OSNOVNA ŠKOLA SIRAČ;BJELOVARSKO-BILOGORSKA
233;OSNOVNA ŠKOLA U ĐULOVCU;BJELOVARSKO-BILOGORSKA
234;OSNOVNA ŠKOLA IVANSKA;BJELOVARSKO-BILOGORSKA
235;OSNOVNA ŠKOLA ŠTEFANJE;BJELOVARSKO-BILOGORSKA
236;OSNOVNA ŠKOLA MATE LOVRAKA;BJELOVARSKO-BILOGORSKA
237;OSNOVNA ŠKOLA BEREK;BJELOVARSKO-BILOGORSKA
238;OSNOVNA ŠKOLA SLAVKA KOLARA;BJELOVARSKO-BILOGORSKA
239;OSNOVNA ŠKOLA ROVIŠĆE;BJELOVARSKO-BILOGORSKA
