Tip ustanove:;Srednja škola;;;;;;
Županija:;Istarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5018;INSIGHT INTERMEDIATE WORKBOOK : radna bilježnica za engleski jezik, 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola;Paul Hancock;radna bilježnica;66,00;OXFORD;Novo;1. razred srednje škole
5017;INSIGHT INTERMEDIATE STUDENT'S BOOK : udžbenik engleskog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola;Jayne Wildman (s Cathy Myers i Claire Thacker);udžbenik;98,00;OXFORD;Novo;1. razred srednje škole
TALIJANSKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
994;NUOVO PROGETTO ITALIANO 1 : quaderno degli esercizi : radna bilježnica iz talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;radna bilježnica;81,00;VBZ;;1. razred srednje škole
993;NUOVO PROGETTO ITALIANO 1 : libro dello studente + CD-ROM : udžbenik talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;udžbenik s CD-om;129,00;VBZ;;1. razred srednje škole
MATEMATIKA - ZA OPĆU, JEZIČNU I KLASIČNU GIMNAZIJU ;;;;;;;
5530;MATEMATIKA 1 - 2. DIO : udžbenik matematike sa zbirkom zadataka i višemedijskim nastavnim materijalima u prvom razredu opće, jezične i klasične gimnazije;Jagoda Krajina, Ivica Gusić, Toni Milun, Franka Miriam Brückler;udžbenik sa zbirkom zadataka i višemedijskim nastavnim materijalima;72,00;ŠK;Novo;1. razred srednje škole
5529;MATEMATIKA 1 - 1. DIO : udžbenik matematike sa zbirkom zadataka i višemedijskim nastavnim materijalima u prvom razredu opće, jezične i klasične gimnazije;Jagoda Krajina, Ivica Gusić, Toni Milun, Franka Miriam Brückler;udžbenik sa zbirkom zadataka i višemedijskim nastavnim materijalima;72,00;ŠK;Novo;1. razred srednje škole
FIZIKA - ČETVEROGODIŠNJI GIMNAZIJSKI PROGRAM ;;;;;;;
1070;FIZIKA 1 : udžbenik fizike za 1. razred gimnazije : A-inačica;Vladimir Paar;udžbenik;105,00;ŠK;;1. razred srednje škole
1071;FIZIKA 1 : zbirka riješenih zadataka za 1. razred gimnazije : A-inačica;Vladimir Paar, Vladimir Šips;zbirka zadataka;73,00;ŠK;;1. razred srednje škole
GLAZBENA UMJETNOST - ČETVEROGODIŠNJI PROGRAM ;;;;;;;
5494;GLAZBENA UMJETNOST 1 : udžbenik glazbene umjetnosti s višemedijskim nastavnim materijalima na 3 CD-a u prvom razredu gimnazije;Nada Medenica;udžbenik s 3 CD-a;99,00;ŠK;Novo;1. razred srednje škole
LIKOVNA UMJETNOST ;;;;;;;
5520;LIKOVNA UMJETNOST 1 : udžbenik likovne umjetnosti u prvom razredu gimnazije, srednje strukovne i umjetničke škole;Jadranka Damjanov;udžbenik;105,00;ŠK;Novo;1. razred srednje škole
ETIKA ;;;;;;;
1154;ETIKA 1 : udžbenik za 1. razred gimnazije i srednje škole;Ćiril Čoh, Marija Lamot, Ksenija Matuš;udžbenik;89,00;ŠK;;1. razred srednje škole
LATINSKI JEZIK ;;;;;;;
5798;HEREDITAS LINGUAE LATINAE : radna bilježnica latinskog jezika za 1. i 2. razred gimnazije, 1. i 2. godina učenja;Zvonimir Milanović;radna bilježnica;68,00;VBZ;Novo;1. razred srednje škole
5797;HEREDITAS LINGUAE LATINAE : udžbenik latinskog jezika za 1. i 2. razred gimnazije, 1. i 2. godina učenja;Zvonimir Milanović;udžbenik;95,00;VBZ;Novo;1. razred srednje škole
INFORMATIKA ;;;;;;;
5511;INFORMATIKA 1 : udžbenik informatike u prvom razredu prirodoslovno-matematičke i opće gimnazije te drugom razredu klasične i jezične gimnazije;Predrag Brođanac, Leo Budin, Zlatka Markučić, Smiljana Perić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
GEOGRAFSKI ATLASI ;;;;;;;
2325;GEOGRAFSKI ATLAS ZA SREDNJU ŠKOLU;Demir Šehić, Denis Šehić;geografski atlas;119,00;ŠK;;1. razred srednje škole
POVIJESNI ATLASI ;;;;;;;
5558;KORACI KROZ VRIJEME : povijesni atlas za gimnazije;;povijesni atlas;123,00;ŠK;Novo;1. razred srednje škole
Ekonomist - 2. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4927;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;2. razred srednje škole
4926;"CHOICES INTERMEDIATE : udžbenik engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;2. razred srednje škole
GEOGRAFIJA ;;;;;;;
4891;GEOGRAFIJA 2 : udžbenik iz geografije za II. razred ekonomske škole;Emil Čokonaj, Vedran Šikić, Ružica Vuk;udžbenik;103,00;MERIDIJANI;Novo;2. razred srednje škole
TALIJANSKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
993;NUOVO PROGETTO ITALIANO 1 : libro dello studente + CD-ROM : udžbenik talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;udžbenik s CD-om;129,00;VBZ;;2. razred srednje škole
994;NUOVO PROGETTO ITALIANO 1 : quaderno degli esercizi : radna bilježnica iz talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;radna bilježnica;81,00;VBZ;;2. razred srednje škole
ETIKA ;;;;;;;
3649;JA, MI, ONI… : udžbenik etike za drugi razred gimnazije i strukovne škole;Bruno Ćurko, Dunja Marušić Brezetić;udžbenik;95,00;PROFIL;;2. razred srednje škole
VJERONAUK ;;;;;;;
1709;ODVAŽNI SVJEDOCI : udžbenik vjeronauka za 2. razred srednje škole;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Dušan Vuletić;udžbenik;53,00;SALESIANA;;2. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
5391;ČITANKA 2 : čitanka u drugom razredu četverogodišnje srednje strukovne škole;Marina Čubrić, Davorka Horvatek-Modrić, Ruža Križan-Sirovica;udžbenik;103,00;ŠK;Novo;2. razred srednje škole
